Substance,Period,Date,Value1,Value2,Value3,Value4
ČAĐ,24h,20.03.2021,50,6,8,7
NO,2 24h,20.03.2021,85,125,14,11
NH3,24h,20.03.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,20.03.2021,50,75,27,
BC,24h,20.03.2021,4,,,
UV,24h,20.03.2021,8,,,
Benzen,24h,,,,,
SO 2,24h,21.03.2021,125,125,8,8
ČAĐ,24h,21.03.2021,50,11,11,12
NO,2 24h,21.03.2021,85,125,20,16
NH3,24h,21.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.03.2021,3,,,
UV,24h,21.03.2021,7,,,
Benzen,24h,,,,,
SO 2,24h,22.03.2021,125,125,8,8
ČAĐ,24h,22.03.2021,50,5,4,4
NO,2 24h,22.03.2021,85,125,15,17
NH3,24h,22.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.03.2021,2,,,
UV,24h,22.03.2021,4,,,
Benzen,24h,,,,,
SO 2,24h,23.03.2021,125,125,8,8
ČAĐ,24h,23.03.2021,50,4,4,4
NO,2 24h,23.03.2021,85,125,15,10
NH3,24h,23.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,23.03.2021,50,75,17,
BC,24h,23.03.2021,1,,,
UV,24h,23.03.2021,3,,,
Benzen,24h,,,,,
SO 2,24h,24.03.2021,125,125,8,8
ČAĐ,24h,24.03.2021,50,8,6,7
NO,2 24h,24.03.2021,85,125,14,11
NH3,24h,24.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.03.2021,1,,,
UV,24h,24.03.2021,4,,,
Benzen,24h,24.03.2021,,,,
SO 2,24h,25.03.2021,125,125,8,8
ČAĐ,24h,25.03.2021,50,19,17,28
NO,2 24h,25.03.2021,85,125,42,35
NH3,24h,25.03.2021,100,5,9,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.03.2021,5,,,
UV,24h,25.03.2021,10,,,
Benzen,24h,,,,,
SO 2,24h,26.03.2021,125,125,8,8
ČAĐ,24h,26.03.2021,50,41,38,38
NO,2 24h,26.03.2021,85,125,28,29
NH3,24h,26.03.2021,100,5,7,
TSP,24h,,120,,,
PM10,24h,26.03.2021,50,75,75,
BC,24h,26.03.2021,8,,,
UV,24h,26.03.2021,14,,,
Benzen,24h,,,,,
SO 2,24h,27.03.2021,125,125,8,8
ČAĐ,24h,27.03.2021,50,36,23,31
NO,2 24h,27.03.2021,85,125,36,24
NH3,24h,27.03.2021,100,5,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.03.2021,7,,,
UV,24h,27.03.2021,14,,,
Benzen,24h,,,,,
SO 2,24h,28.03.2021,125,125,8,8
ČAĐ,24h,28.03.2021,50,15,11,15
NO,2 24h,28.03.2021,85,125,17,18
NH3,24h,28.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.03.2021,1,,,
UV,24h,28.03.2021,4,,,
Benzen,24h,,,,,
SO 2,24h,29.03.2021,125,125,8,8
ČAĐ,24h,29.03.2021,50,18,11,22
NO,2 24h,29.03.2021,85,125,32,32
NH3,24h,29.03.2021,100,5,9,
TSP,24h,,120,,,
PM10,24h,29.03.2021,50,75,48,
BC,24h,29.03.2021,5,,,
UV,24h,29.03.2021,10,,,
Benzen,24h,,,,,
SO 2,24h,30.03.2021,125,125,8,8
ČAĐ,24h,30.03.2021,50,10,11,14
NO,2 24h,30.03.2021,85,125,23,21
NH3,24h,30.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.03.2021,6,,,
UV,24h,30.03.2021,11,,,
Benzen,24h,30.03.2021,,,,
SO 2,24h,31.03.2021,125,125,8,8
ČAĐ,24h,31.03.2021,50,24,20,25
NO,2 24h,31.03.2021,85,125,39,25
NH3,24h,31.03.2021,100,5,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,31.03.2021,7,,,
UV,24h,31.03.2021,10,,,
Benzen,24h,,,,,
SO 2,24h,20.06.2017,125,125,8,8
ČAĐ,24h,20.06.2017,50,24,13,23
NO,2 24h,20.06.2017,85,125,29,24
NH3,24h,20.06.2017,100,22,26,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.06.2017,3,,,
UV,24h,20.06.2017,3,,,
Benzen,24h,,,,,
SO 2,24h,15.06.2017,125,125,8,8
ČAĐ,24h,15.06.2017,50,12,10,14
NO,2 24h,15.06.2017,85,125,26,17
NH3,24h,15.06.2017,100,26,25,
TSP,24h,,120,,,
PM10,24h,13.06.2017,50,75,33,
BC,24h,15.06.2017,1,,,
UV,24h,15.06.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,01.06.2017,125,125,8,8
ČAĐ,24h,01.06.2017,50,16,8,17
NO,2 24h,01.06.2017,85,125,35,17
NH3,24h,01.06.2017,100,30,36,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.06.2017,2,,,
UV,24h,01.06.2017,2,,,
Benzen,24h,01.06.2017,,,,
SO 2,24h,02.06.2017,125,125,8,8
ČAĐ,24h,02.06.2017,50,12,4,15
NO,2 24h,02.06.2017,85,125,29,13
NH3,24h,02.06.2017,100,25,27,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.06.2017,2,,,
UV,24h,02.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,03.06.2017,125,125,8,8
ČAĐ,24h,03.06.2017,50,9,8,9
NO,2 24h,03.06.2017,85,125,17,21
NH3,24h,03.06.2017,100,18,26,
TSP,24h,,120,,,
PM10,24h,31.05.2017,50,75,42,
BC,24h,03.06.2017,1,,,
UV,24h,03.06.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,04.06.2017,125,125,8,8
ČAĐ,24h,04.06.2017,50,4,4,4
NO,2 24h,04.06.2017,85,125,17,18
NH3,24h,04.06.2017,100,22,35,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.06.2017,0,,,
UV,24h,04.06.2017,0,,,
Benzen,24h,,,,,
SO 2,24h,05.06.2017,125,125,8,13
ČAĐ,24h,05.06.2017,50,13,12,8
NO,2 24h,05.06.2017,85,125,21,22
NH3,24h,05.06.2017,100,24,39,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.06.2017,,,,
UV,24h,05.06.2017,,,,
Benzen,24h,,,,,
SO 2,24h,06.06.2017,125,125,8,8
ČAĐ,24h,06.06.2017,50,4,6,7
NO,2 24h,06.06.2017,85,125,17,26
NH3,24h,06.06.2017,100,24,45,
TSP,24h,,120,,,
PM10,24h,03.06.2017,50,75,26,
BC,24h,06.06.2017,0,,,
UV,24h,06.06.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,07.06.2017,125,125,8,8
ČAĐ,24h,07.06.2017,50,9,4,9
NO,2 24h,07.06.2017,85,125,25,11
NH3,24h,07.06.2017,100,22,37,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.06.2017,0,,,
UV,24h,07.06.2017,1,,,
Benzen,24h,07.06.2017,,,,
SO 2,24h,08.06.2017,125,125,8,8
ČAĐ,24h,08.06.2017,50,13,6,20
NO,2 24h,08.06.2017,85,125,28,14
NH3,24h,08.06.2017,100,16,23,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.06.2017,1,,,
UV,24h,08.06.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,09.06.2017,125,125,8,8
ČAĐ,24h,09.06.2017,50,20,12,23
NO,2 24h,09.06.2017,85,125,20,22
NH3,24h,09.06.2017,100,19,27,
TSP,24h,,120,,,
PM10,24h,06.06.2017,50,75,33,
BC,24h,09.06.2017,2,,,
UV,24h,09.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,10.06.2017,125,125,8,8
ČAĐ,24h,10.06.2017,50,7,6,7
NO,2 24h,10.06.2017,85,125,26,25
NH3,24h,10.06.2017,100,22,27,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.06.2017,1,,,
UV,24h,10.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,11.06.2017,125,125,8,8
ČAĐ,24h,11.06.2017,50,10,6,19
NO,2 24h,11.06.2017,85,125,25,20
NH3,24h,11.06.2017,100,17,27,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.06.2017,1,,,
UV,24h,11.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,12.06.2017,125,125,8,8
ČAĐ,24h,12.06.2017,50,15,17,15
NO,2 24h,12.06.2017,85,125,33,33
NH3,24h,12.06.2017,100,33,32,
TSP,24h,,120,,,
PM10,24h,09.06.2017,50,75,34,
BC,24h,12.06.2017,1,,,
UV,24h,12.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,13.06.2017,125,125,9,8
ČAĐ,24h,13.06.2017,50,15,8,23
NO,2 24h,13.06.2017,85,125,38,21
NH3,24h,13.06.2017,100,38,30,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,13.06.2017,2,,,
UV,24h,13.06.2017,2,,,
Benzen,24h,13.06.2017,,,,
SO 2,24h,14.06.2017,125,125,8,8
ČAĐ,24h,14.06.2017,50,13,5,14
NO,2 24h,14.06.2017,85,125,27,17
NH3,24h,14.06.2017,100,24,41,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.06.2017,2,,,
UV,24h,14.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,16.06.2017,125,125,8,8
ČAĐ,24h,16.06.2017,50,9,4,7
NO,2 24h,16.06.2017,85,125,23,13
NH3,24h,16.06.2017,100,35,31,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,16.06.2017,1,,,
UV,24h,16.06.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,17.06.2017,125,125,8,8
ČAĐ,24h,17.06.2017,50,5,4,6
NO,2 24h,17.06.2017,85,125,17,10
NH3,24h,17.06.2017,100,19,27,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.06.2017,0,,,
UV,24h,17.06.2017,0,,,
Benzen,24h,,,,,
SO 2,24h,18.06.2017,125,125,8,8
ČAĐ,24h,18.06.2017,50,8,4,12
NO,2 24h,18.06.2017,85,125,17,8
NH3,24h,18.06.2017,100,19,21,
TSP,24h,,120,,,
PM10,24h,15.06.2017,50,75,33,
BC,24h,18.06.2017,0,,,
UV,24h,18.06.2017,0,,,
Benzen,24h,,,,,
SO 2,24h,19.06.2017,125,125,8,8
ČAĐ,24h,19.06.2017,50,17,8,25
NO,2 24h,19.06.2017,85,125,31,17
NH3,24h,19.06.2017,100,21,25,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,19.06.2017,1,,,
UV,24h,19.06.2017,1,,,
Benzen,24h,19.06.2017,,,,
SO 2,24h,21.06.2017,125,125,8,8
ČAĐ,24h,21.06.2017,50,15,8,14
NO,2 24h,21.06.2017,85,125,19,13
NH3,24h,21.06.2017,100,25,31,
TSP,24h,,120,,,
PM10,24h,18.06.2017,50,75,21,
BC,24h,21.06.2017,2,,,
UV,24h,21.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,22.06.2017,125,125,8,8
ČAĐ,24h,22.06.2017,50,21,20,18
NO,2 24h,22.06.2017,85,125,28,31
NH3,24h,22.06.2017,100,29,42,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.06.2017,1,,,
UV,24h,22.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,23.06.2017,125,125,8,8
ČAĐ,24h,23.06.2017,50,11,5,9
NO,2 24h,23.06.2017,85,125,34,20
NH3,24h,23.06.2017,100,29,40,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.06.2017,1,,,
UV,24h,23.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,24.06.2017,125,125,8,8
ČAĐ,24h,24.06.2017,50,17,13,18
NO,2 24h,24.06.2017,85,125,28,26
NH3,24h,24.06.2017,100,74,44,
TSP,24h,,120,,,
PM10,24h,21.06.2017,50,75,40,
BC,24h,24.06.2017,1,,,
UV,24h,24.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,25.06.2017,125,125,8,8
ČAĐ,24h,25.06.2017,50,4,4,5
NO,2 24h,25.06.2017,85,125,12,33
NH3,24h,25.06.2017,100,36,68,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.06.2017,1,,,
UV,24h,25.06.2017,1,,,
Benzen,24h,25.06.2017,,,,
SO 2,24h,26.06.2017,125,125,8,8
ČAĐ,24h,26.06.2017,50,14,8,17
NO,2 24h,26.06.2017,85,125,30,19
NH3,24h,26.06.2017,100,29,56,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.06.2017,1,,,
UV,24h,26.06.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,27.06.2017,125,125,8,8
ČAĐ,24h,27.06.2017,50,14,15,10
NO,2 24h,27.06.2017,85,125,20,34
NH3,24h,27.06.2017,100,44,58,
TSP,24h,,120,,,
PM10,24h,24.06.2017,50,75,36,
BC,24h,27.06.2017,1,,,
UV,24h,27.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,28.06.2017,125,125,8,8
ČAĐ,24h,28.06.2017,50,6,7,7
NO,2 24h,28.06.2017,85,125,12,39
NH3,24h,28.06.2017,100,29,88,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.06.2017,0,,,
UV,24h,28.06.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,29.06.2017,125,125,8,8
ČAĐ,24h,29.06.2017,50,18,20,21
NO,2 24h,29.06.2017,85,125,28,27
NH3,24h,29.06.2017,100,30,83,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.06.2017,1,,,
UV,24h,29.06.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,30.06.2017,125,125,8,8
ČAĐ,24h,30.06.2017,50,8,5,6
NO,2 24h,30.06.2017,85,125,21,16
NH3,24h,30.06.2017,100,60,68,
TSP,24h,,120,,,
PM10,24h,27.06.2017,50,75,30,
BC,24h,30.06.2017,1,,,
UV,24h,30.06.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,01.11.2021,125,125,8,8
ČAĐ,24h,01.11.2021,50,5,8,8
NO,2 24h,01.11.2021,85,125,2,10
NH3,24h,01.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.11.2021,,,,
UV,24h,01.11.2021,,,,
Benzen,24h,01.11.2021,,,,
SO 2,24h,02.11.2021,125,125,8,8
ČAĐ,24h,02.11.2021,50,10,13,22
NO,2 24h,02.11.2021,85,125,14,16
NH3,24h,02.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.11.2021,,,,
UV,24h,02.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,03.11.2021,125,125,8,8
ČAĐ,24h,03.11.2021,50,6,5,6
NO,2 24h,03.11.2021,85,125,3,9
NH3,24h,03.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,03.11.2021,50,75,23,
BC,24h,03.11.2021,,,,
UV,24h,03.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,04.11.2021,125,125,8,8
ČAĐ,24h,04.11.2021,50,8,5,5
NO,2 24h,04.11.2021,85,125,18,19
NH3,24h,04.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.11.2021,,,,
UV,24h,04.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,05.11.2021,125,125,8,8
ČAĐ,24h,05.11.2021,50,4,4,5
NO,2 24h,05.11.2021,85,125,9,14
NH3,24h,05.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.11.2021,,,,
UV,24h,05.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,06.11.2021,125,125,8,8
ČAĐ,24h,06.11.2021,50,13,8,16
NO,2 24h,06.11.2021,85,125,24,27
NH3,24h,06.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,06.11.2021,50,75,34,
BC,24h,06.11.2021,,,,
UV,24h,06.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,07.11.2021,125,125,8,8
ČAĐ,24h,07.11.2021,50,12,16,10
NO,2 24h,07.11.2021,85,125,7,17
NH3,24h,07.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.11.2021,,,,
UV,24h,07.11.2021,,,,
Benzen,24h,07.11.2021,,,,
SO 2,24h,08.11.2021,125,125,8,8
ČAĐ,24h,08.11.2021,50,6,4,10
NO,2 24h,08.11.2021,85,125,18,14
NH3,24h,08.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.11.2021,,,,
UV,24h,08.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,09.11.2021,125,125,8,8
ČAĐ,24h,09.11.2021,50,20,12,20
NO,2 24h,09.11.2021,85,125,15,17
NH3,24h,09.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,09.11.2021,50,75,35,
BC,24h,09.11.2021,,,,
UV,24h,09.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,10.11.2021,125,125,8,8
ČAĐ,24h,10.11.2021,50,8,7,11
NO,2 24h,10.11.2021,85,125,4,10
NH3,24h,10.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.11.2021,,,,
UV,24h,10.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,11.11.2021,125,125,8,8
ČAĐ,24h,11.11.2021,50,13,9,10
NO,2 24h,11.11.2021,85,125,3,19
NH3,24h,11.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.11.2021,,,,
UV,24h,11.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,12.11.2021,125,125,8,8
ČAĐ,24h,12.11.2021,50,29,19,26
NO,2 24h,12.11.2021,85,125,23,27
NH3,24h,12.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,12.11.2021,50,75,82,
BC,24h,12.11.2021,,,,
UV,24h,12.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,13.11.2021,125,125,8,8
ČAĐ,24h,13.11.2021,50,9,13,9
NO,2 24h,13.11.2021,85,125,8,17
NH3,24h,13.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,13.11.2021,,,,
UV,24h,13.11.2021,,,,
Benzene,24h,,,2,,
SO 2,24h,14.11.2021,125,125,8,8
ČAĐ,24h,14.11.2021,50,6,9,8
NO,2 24h,14.11.2021,85,125,14,19
NH3,24h,14.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.11.2021,,,,
UV,24h,14.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,15.11.2021,125,125,8,8
ČAĐ,24h,15.11.2021,50,4,4,4
NO,2 24h,15.11.2021,85,125,2,14
NH3,24h,15.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,15.11.2021,50,75,28,
BC,24h,15.11.2021,,,,
UV,24h,15.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,16.11.2021,125,125,8,8
ČAĐ,24h,16.11.2021,50,8,5,8
NO,2 24h,16.11.2021,85,125,3,12
NH3,24h,16.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,16.11.2021,,,,
UV,24h,16.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,17.11.2021,125,125,8,8
ČAĐ,24h,17.11.2021,50,18,15,17
NO,2 24h,17.11.2021,85,125,4,19
NH3,24h,17.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.11.2021,,,,
UV,24h,17.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,18.11.2021,125,125,8,8
ČAĐ,24h,18.11.2021,50,13,7,7
NO,2 24h,18.11.2021,85,125,17,18
NH3,24h,18.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,18.11.2021,50,75,37,
BC,24h,18.11.2021,,,,
UV,24h,18.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,19.11.2021,125,125,8,8
ČAĐ,24h,19.11.2021,50,11,10,11
NO,2 24h,19.11.2021,85,125,9,14
NH3,24h,19.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,19.11.2021,,,,
UV,24h,19.11.2021,,,,
Benzen,24h,19.11.2021,,,,
SO 2,24h,20.11.2021,125,125,8,8
ČAĐ,24h,20.11.2021,50,24,16,26
NO,2 24h,20.11.2021,85,125,12,15
NH3,24h,20.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.11.2021,,,,
UV,24h,20.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,21.11.2021,125,125,8,8
ČAĐ,24h,21.11.2021,50,15,30,24
NO,2 24h,21.11.2021,85,125,29,28
NH3,24h,21.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,21.01.1900,50,75,61,
BC,24h,21.11.2021,,,,
UV,24h,21.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,22.11.2021,125,125,8,8
ČAĐ,24h,22.11.2021,50,21,16,18
NO,2 24h,22.11.2021,85,125,32,24
NH3,24h,22.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.11.2021,,,,
UV,24h,22.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,23.11.2021,125,125,8,8
ČAĐ,24h,23.11.2021,50,9,7,15
NO,2 24h,23.11.2021,85,125,29,20
NH3,24h,23.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.11.2021,,,,
UV,24h,23.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,24.11.2021,125,125,8,8
ČAĐ,24h,24.11.2021,50,8,9,10
NO,2 24h,24.11.2021,85,125,26,26
NH3,24h,24.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,24.11.2021,50,75,36,
BC,24h,24.11.2021,,,,
UV,24h,24.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,25.11.2021,125,125,8,8
ČAĐ,24h,25.11.2021,50,4,4,5
NO,2 24h,25.11.2021,85,125,13,14
NH3,24h,25.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.11.2021,,,,
UV,24h,25.11.2021,,,,
Benzen,24h,25.11.2021,,,,
SO 2,24h,26.11.2021,125,125,8,8
ČAĐ,24h,26.11.2021,50,6,9,6
NO,2 24h,26.11.2021,85,125,14,16
NH3,24h,26.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.11.2021,,,,
UV,24h,26.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,27.11.2021,125,125,8,8
ČAĐ,24h,27.11.2021,50,7,10,7
NO,2 24h,27.11.2021,85,125,9,13
NH3,24h,27.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,27.11.2021,50,75,32,
BC,24h,27.11.2021,,,,
UV,24h,27.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,28.11.2021,125,125,8,8
ČAĐ,24h,28.11.2021,50,4,4,4
NO,2 24h,28.11.2021,85,125,18,19
NH3,24h,28.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.11.2021,,,,
UV,24h,28.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,29.11.2021,125,125,8,8
ČAĐ,24h,29.11.2021,50,5,5,9
NO,2 24h,29.11.2021,85,125,21,13
NH3,24h,29.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.11.2021,,,,
UV,24h,29.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,30.11.2021,125,125,8,8
ČAĐ,24h,30.11.2021,50,4,4,4
NO,2 24h,30.11.2021,85,125,23,17
NH3,24h,30.11.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,30.11.2021,50,75,17,
BC,24h,30.11.2021,,,,
UV,24h,30.11.2021,,,,
Benzen,24h,,,,,
SO 2,24h,01.03.2018,125,125,14,17
ČAĐ,24h,01.03.2018,50,19,17,18
NO,2 24h,01.03.2018,85,125,2,16
NH3,24h,01.03.2018,100,7,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.03.2018,3,,,
UV,24h,01.03.2018,6,,,
Benzen,24h,,,,,
SO 2,24h,02.03.2018,125,125,8,12
ČAĐ,24h,02.03.2018,50,16,12,19
NO,2 24h,02.03.2018,85,125,10,13
NH3,24h,02.03.2018,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.03.2018,1,,,
UV,24h,02.03.2018,4,,,
Benzen,24h,,,,,
SO 2,24h,03.03.2018,125,125,8,8
ČAĐ,24h,03.03.2018,50,23,25,22
NO,2 24h,03.03.2018,85,125,11,13
NH3,24h,03.03.2018,100,6,8,
TSP,24h,,120,,,
PM10,24h,28.02.2018,50,75,67,
BC,24h,03.03.2018,3,,,
UV,24h,03.03.2018,5,,,
Benzen,24h,,,,,
SO 2,24h,04.03.2018,125,125,8,8
ČAĐ,24h,04.03.2018,50,24,26,23
NO,2 24h,04.03.2018,85,125,10,15
NH3,24h,04.03.2018,100,5,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.03.2018,,,,
UV,24h,04.03.2018,,,,
Benzen,24h,,,,,
SO 2,24h,05.03.2018,125,125,8,14
ČAĐ,24h,05.03.2018,50,8,9,8
NO,2 24h,05.03.2018,85,125,2,14
NH3,24h,05.03.2018,100,5,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.03.2018,,,,
UV,24h,05.03.2018,,,,
Benzen,24h,,,,,
SO 2,24h,06.03.2018,125,125,8,11
ČAĐ,24h,06.03.2018,50,17,15,15
NO,2 24h,06.03.2018,85,125,7,16
NH3,24h,06.03.2018,100,7,10,
TSP,24h,,120,,,
PM10,24h,03.09.2018,50,75,66,
BC,24h,06.03.2018,,,,
UV,24h,06.03.2018,,,,
Benzen,24h,,,,,
SO 2,24h,07.03.2018,125,125,14,12
ČAĐ,24h,07.03.2018,50,23,22,16
NO,2 24h,07.03.2018,85,125,20,29
NH3,24h,07.03.2018,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.03.2018,,,,
UV,24h,07.03.2018,,,,
Benzen,24h,,,,,
SO 2,24h,08.03.2018,125,125,8,8
ČAĐ,24h,08.03.2018,50,27,15,14
NO,2 24h,08.03.2018,85,125,21,14
NH3,24h,08.03.2018,100,14,18,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.03.2018,,,,
UV,24h,08.03.2018,,,,
Benzen,24h,,,,,
SO 2,24h,09.03.2018,125,125,8,8
ČAĐ,24h,09.03.2018,50,67,43,46
NO,2 24h,09.03.2018,85,125,33,38
NH3,24h,09.03.2018,100,13,10,
TSP,24h,,120,,,
PM10,24h,06.03.2018,50,75,32,
BC,24h,09.03.2018,,,,
UV,24h,09.03.2018,,,,
Benzen,24h,,,,,
SO 2,24h,10.03.2018,125,125,15,17
ČAĐ,24h,10.03.2018,50,22,25,20
NO,2 24h,10.03.2018,85,125,13,22
NH3,24h,10.03.2018,100,14,14,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.03.2018,,,,
UV,24h,10.03.2018,,,,
Benzen,24h,,,,,
SO 2,24h,11.03.2018,125,125,8,20
